HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456201.1224719,2012-09-30.6201059,ba,1.99,15.042,10.566,0.011,227.794,2.197,V
2456201.1241567,2012-09-30.6217905,ba,2.03,14.966,10.558,0.011,229.590,2.354,V
2456202.1116328,2012-10-01.6091822,ba,2.00,14.776,10.553,0.010,230.490,2.221,V
2456202.1132444,2012-10-01.6107937,ba,2.04,14.716,10.553,0.011,230.438,2.400,V
2456214.0854925,2012-10-13.5820636,ba,2.07,15.372,10.453,0.005,252.671,1.147,V
2456214.0875310,2012-10-13.5841020,ba,2.07,15.372,10.454,0.005,252.534,1.148,V
2456217.0314325,2012-10-16.5277787,ba,2.13,15.360,10.437,0.005,256.411,1.137,V
2456217.0334749,2012-10-16.5298210,ba,2.12,15.362,10.438,0.005,256.185,1.138,V
2456227.0349443,2012-10-26.5305865,ba,2.23,15.275,10.376,0.004,271.474,0.975,V
2456227.0368267,2012-10-26.5324688,ba,2.23,15.276,10.377,0.004,271.171,1.022,V
2456227.0673292,2012-10-26.5629693,ba,2.24,15.287,10.378,0.004,270.815,0.965,V
2456227.0692714,2012-10-26.5649115,ba,2.25,15.284,10.374,0.004,271.888,0.982,V
2456228.0646861,2012-10-27.5602617,ba,2.26,15.266,10.376,0.004,271.313,0.990,V
2456228.0665362,2012-10-27.5621117,ba,2.26,15.269,10.378,0.004,270.895,1.025,V
2456229.0619950,2012-10-28.5575071,ba,2.31,15.237,10.380,0.004,270.337,1.063,V
2456229.0637996,2012-10-28.5593117,ba,2.31,15.255,10.386,0.005,268.931,1.207,V
2456230.0593037,2012-10-29.5547535,ba,2.22,15.253,10.396,0.004,266.529,1.046,V
2456230.0610434,2012-10-29.5564931,ba,2.20,15.250,10.402,0.004,264.862,1.003,V
2456231.0566410,2012-10-30.5520296,ba,2.31,15.212,10.381,0.005,270.126,1.091,V
2456231.0583776,2012-10-30.5537662,ba,2.30,15.211,10.382,0.004,269.885,1.006,V
2456233.0512712,2012-11-01.5465409,ba,2.20,15.238,10.360,0.004,275.168,0.976,V
2456233.0530488,2012-11-01.5483185,ba,2.23,15.236,10.358,0.004,275.726,0.993,V
2456234.0487265,2012-11-02.5439385,ba,2.16,15.268,10.378,0.003,270.752,0.923,V
2456234.0505162,2012-11-02.5457282,ba,2.16,15.268,10.365,0.004,274.246,0.952,V
2456235.0459544,2012-11-03.5411099,ba,2.16,15.261,10.372,0.004,272.440,0.964,V
2456235.0477536,2012-11-03.5429091,ba,2.16,15.306,10.398,0.004,265.928,1.001,V
2456236.0433063,2012-11-04.5384066,ba,2.14,15.297,10.375,0.003,271.562,0.921,V
2456236.0451710,2012-11-04.5402712,ba,2.13,15.288,10.362,0.004,274.841,0.940,V
2456237.0406514,2012-11-05.5356977,ba,2.30,15.290,10.376,0.004,271.275,0.945,V
2456237.0425769,2012-11-05.5376231,ba,2.30,15.285,10.377,0.004,270.990,0.937,V
2456238.0379663,2012-11-06.5329599,ba,2.14,15.312,10.382,0.004,269.860,0.929,V
2456238.0399260,2012-11-06.5349194,ba,2.13,15.316,10.378,0.003,270.730,0.912,V
2456239.0352455,2012-11-07.5301875,ba,2.02,15.327,10.372,0.004,272.478,0.921,V
2456239.0372141,2012-11-07.5321560,ba,2.02,15.319,10.364,0.004,274.274,0.944,V
2456240.0325989,2012-11-08.5274907,ba,1.81,15.323,10.359,0.004,275.608,0.946,V
2456240.0346174,2012-11-08.5295091,ba,2.00,15.322,10.355,0.004,276.565,0.954,V
2456241.0322687,2012-11-09.5271115,ba,2.08,15.315,10.364,0.004,274.420,0.966,V
2456241.0343394,2012-11-09.5291821,ba,2.06,15.321,10.360,0.004,275.373,1.005,V
2456243.0245796,2012-11-11.5193288,ba,2.09,15.328,10.377,0.004,270.931,0.937,V
2456243.0266500,2012-11-11.5213991,ba,2.09,15.332,10.367,0.004,273.511,0.957,V
2456244.0218833,2012-11-12.5165877,ba,1.81,15.331,10.352,0.004,277.538,0.993,V
2456244.0239439,2012-11-12.5186482,ba,1.82,15.334,10.350,0.003,277.776,0.910,V
2456246.0164977,2012-11-14.5111166,ba,2.18,15.304,10.361,0.004,275.171,0.947,V
2456246.0185656,2012-11-14.5131844,ba,2.18,15.303,10.355,0.003,276.699,0.884,V
2456248.0111145,2012-11-16.5056535,ba,2.18,14.726,10.375,0.006,271.434,1.382,V
2456248.0128791,2012-11-16.5074181,ba,2.17,15.134,10.353,0.004,277.175,1.048,V
2456250.0057916,2012-11-18.5002565,ba,2.32,99.990,99.990,99.990,99.990,99.990,V
2456250.0073510,2012-11-18.5018159,ba,2.23,99.990,99.990,99.990,99.990,99.990,V
2456252.0003989,2012-11-20.4947955,ba,2.14,14.745,10.355,0.005,276.651,1.333,V
2456252.0021878,2012-11-20.4965844,ba,2.15,14.768,10.370,0.005,272.873,1.263,V
2456252.9976598,2012-11-21.4920246,ba,2.23,14.309,10.359,0.008,275.710,1.927,V
2456252.9993722,2012-11-21.4937369,ba,2.24,14.233,10.381,0.009,270.047,2.281,V
2456256.9868747,2012-11-25.4811267,ba,2.17,14.398,10.406,0.008,264.000,1.873,V
2456256.9884643,2012-11-25.4827163,ba,2.14,14.636,10.389,0.006,267.972,1.500,V
2456258.9815062,2012-11-27.4757110,ba,2.12,15.229,10.383,0.005,269.508,1.162,V
2456258.9832567,2012-11-27.4774615,ba,2.12,15.238,10.387,0.005,268.773,1.195,V
2456259.9787533,2012-11-28.4729368,ba,2.31,15.160,10.390,0.006,267.989,1.465,V
2456259.9804532,2012-11-28.4746367,ba,2.32,15.155,10.387,0.006,268.583,1.408,V
2456268.9542298,2012-12-07.4482914,ba,2.41,15.123,10.375,0.007,271.498,1.614,V
2456268.9562620,2012-12-07.4503236,ba,2.40,15.120,10.368,0.007,273.108,1.621,V
2456268.9700270,2012-12-07.4640886,ba,2.41,15.123,10.373,0.007,272.107,1.677,V
2456268.9720140,2012-12-07.4660756,ba,2.41,15.125,10.370,0.007,272.743,1.677,V
2456269.9515100,2012-12-08.4455660,ba,2.40,99.990,99.990,99.990,99.990,99.990,V
2456269.9530657,2012-12-08.4471218,ba,2.39,99.990,99.990,99.990,99.990,99.990,V
2456271.9460809,2012-12-10.4401304,ba,2.04,15.150,10.365,0.007,274.270,1.800,V
2456271.9481149,2012-12-10.4421645,ba,2.05,15.147,10.354,0.007,276.794,1.776,V
2456272.9434803,2012-12-11.4375290,ba,2.26,15.141,10.388,0.006,268.446,1.347,V
2456272.9454976,2012-12-11.4395463,ba,2.24,15.138,10.379,0.005,270.535,1.327,V
2456276.9465587,2012-12-15.4406203,ba,2.29,15.136,10.387,0.006,268.702,1.396,V
2456276.9485837,2012-12-15.4426453,ba,2.29,15.132,10.380,0.006,270.270,1.336,V
2456285.9076840,2012-12-24.4018676,ba,2.23,15.085,10.381,0.005,269.974,1.111,V
2456285.9094585,2012-12-24.4036422,ba,2.25,15.083,10.383,0.004,269.658,1.061,V
2456300.8662536,2013-01-08.3609177,ba,1.72,15.133,10.365,0.004,274.263,1.004,V
2456300.8682875,2013-01-08.3629517,ba,1.74,15.127,10.351,0.004,277.561,1.056,V
2456302.8607095,2013-01-10.3554626,ba,1.76,15.128,10.355,0.004,276.570,1.057,V
2456302.8627211,2013-01-10.3574743,ba,1.75,15.136,10.370,0.004,272.770,1.009,V
2456308.8440454,2013-01-16.3390985,ba,2.03,15.134,10.378,0.004,270.910,0.951,V
2456308.8460470,2013-01-16.3411003,ba,2.03,15.129,10.368,0.004,273.172,1.002,V
2456308.8557969,2013-01-16.3508507,ba,2.05,15.137,10.386,0.004,268.856,0.956,V
2456308.8578071,2013-01-16.3528610,ba,2.05,15.142,10.387,0.004,268.559,0.939,V
2456310.8384441,2013-01-18.3336078,ba,2.02,15.146,10.401,0.004,264.966,0.929,V
2456310.8403912,2013-01-18.3355550,ba,2.01,15.140,10.397,0.004,266.104,0.976,V
2456315.8244965,2013-01-23.3199581,ba,2.26,15.062,10.359,0.005,275.644,1.163,V
2456315.8262425,2013-01-23.3217042,ba,2.26,15.050,10.349,0.005,278.064,1.196,V
2456316.8217479,2013-01-24.3172727,ba,2.13,15.064,10.378,0.005,270.684,1.123,V
2456316.8234693,2013-01-24.3189943,ba,2.12,15.046,10.381,0.004,270.015,1.039,V
2456317.8189321,2013-01-25.3145212,ba,2.04,15.056,10.379,0.004,270.588,0.997,V
2456317.8206353,2013-01-25.3162245,ba,2.03,15.068,10.374,0.004,271.824,1.082,V
2456318.8161511,2013-01-26.3118056,ba,2.06,15.034,10.394,0.004,266.946,1.039,V
2456318.8178393,2013-01-26.3134939,ba,2.07,15.033,10.387,0.004,268.495,1.108,V
2456319.8134389,2013-01-27.3091599,ba,2.10,15.030,10.377,0.004,271.063,1.096,V
2456319.8151441,2013-01-27.3108652,ba,2.08,15.047,10.373,0.004,271.984,1.077,V
2456325.7965011,2013-02-02.2926430,ba,2.40,15.085,10.352,0.005,277.384,1.188,V
2456325.7985151,2013-02-02.2946572,ba,2.39,15.083,10.344,0.005,279.357,1.127,V
2456325.8126132,2013-02-02.3087563,ba,2.43,15.081,10.350,0.004,277.852,1.085,V
2456325.8146225,2013-02-02.3107657,ba,2.44,15.083,10.349,0.005,278.331,1.154,V
2456327.7908965,2013-02-04.2871866,ba,2.17,15.116,10.378,0.004,270.872,0.990,V
2456329.7402567,2013-02-06.2366951,ba,2.27,15.098,10.349,0.005,278.027,1.116,V
2456329.7422361,2013-02-06.2386746,ba,2.27,15.092,10.343,0.004,279.822,1.100,V
2456344.7222482,2013-02-21.2199229,ba,2.15,15.079,10.398,0.005,265.966,1.114,V
2456344.7239643,2013-02-21.2216392,ba,2.12,15.091,10.395,0.005,266.628,1.109,V
2456348.7808714,2013-02-25.2789030,ba,2.03,15.094,10.408,0.005,263.524,1.103,V
2456348.7825777,2013-02-25.2806094,ba,2.06,15.061,10.410,0.005,262.945,1.132,V
2456353.7692792,2013-03-02.2677575,ba,2.28,15.099,10.385,0.005,269.075,1.113,V
2456353.7712808,2013-03-02.2697592,ba,2.27,15.099,10.388,0.004,268.358,1.033,V
2456356.7407383,2013-03-05.2394857,ba,2.49,15.091,10.406,0.005,264.100,1.157,V
2456357.7660370,2013-03-06.2648776,ba,2.10,15.115,10.427,0.004,258.916,1.015,V
2456357.7680181,2013-03-06.2668589,ba,2.09,15.120,10.427,0.005,258.857,1.058,V
2456358.7416097,2013-03-07.2405392,ba,2.50,15.095,10.421,0.005,260.358,1.150,V
2456360.7298619,2013-03-09.2289726,ba,2.28,15.132,10.448,0.004,254.101,1.004,V
2456360.7317823,2013-03-09.2308931,ba,2.24,15.134,10.440,0.005,255.736,1.057,V
2456365.7324783,2013-03-14.2320453,ba,2.04,15.094,10.402,0.004,265.044,1.017,V
2456365.7344029,2013-03-14.2339701,ba,2.02,15.069,10.404,0.004,264.513,0.940,V
2456506.1318898,2013-08-01.6346082,ba,2.04,14.543,10.406,0.010,263.866,2.411,V
2456507.1291977,2013-08-02.6318476,ba,2.10,14.753,10.376,0.007,271.454,1.818,V
2456507.1306615,2013-08-02.6333112,ba,2.12,14.618,10.403,0.006,264.717,1.567,V
2456508.1261535,2013-08-03.6287339,ba,1.78,14.872,10.401,0.006,265.287,1.470,V
2456508.1275694,2013-08-03.6301498,ba,1.81,14.828,10.386,0.006,268.768,1.440,V
2456512.1160122,2013-08-07.6183055,ba,2.20,14.801,10.370,0.007,272.772,1.617,V
2456512.1175786,2013-08-07.6198718,ba,2.22,14.844,10.368,0.006,273.360,1.446,V
2456514.1092067,2013-08-09.6113513,ba,2.24,14.837,10.366,0.006,273.892,1.383,V
2456514.1109655,2013-08-09.6131100,ba,2.24,14.831,10.360,0.006,275.259,1.353,V
2456519.0971884,2013-08-14.5989468,ba,1.99,14.885,10.382,0.004,269.661,1.177,V
2456519.0985481,2013-08-14.6003064,ba,2.00,14.877,10.364,0.005,274.184,1.256,V
2456521.0959849,2013-08-16.5975835,ba,2.00,14.888,10.375,0.004,271.658,1.143,V
2456521.0973639,2013-08-16.5989623,ba,2.00,14.894,10.387,0.004,268.621,1.103,V
2456522.0945226,2013-08-17.5960403,ba,2.15,14.859,10.365,0.005,274.264,1.238,V
2456522.0958917,2013-08-17.5974092,ba,2.12,14.857,10.367,0.005,273.587,1.332,V
2456526.0821450,2013-08-21.5833335,ba,1.88,14.746,10.393,0.006,267.090,1.396,V
2456526.0835200,2013-08-21.5847084,ba,1.77,14.783,10.389,0.006,268.129,1.555,V
2456528.0778740,2013-08-23.5788944,ba,1.76,14.840,10.369,0.006,273.034,1.405,V
2456528.0792453,2013-08-23.5802656,ba,1.72,14.862,10.409,0.006,263.267,1.335,V
2456532.0742805,2013-08-27.5749583,ba,1.76,14.888,10.388,0.005,268.331,1.247,V
2456532.0756446,2013-08-27.5763223,ba,1.76,14.895,10.393,0.005,266.916,1.215,V
2456534.0684948,2013-08-29.5689990,ba,2.06,14.868,10.377,0.005,271.258,1.339,V
2456534.0698517,2013-08-29.5703558,ba,2.06,14.879,10.382,0.005,269.881,1.200,V
2456535.0724036,2013-08-30.5728198,ba,2.04,14.881,10.379,0.005,270.606,1.273,V
2456535.0737711,2013-08-30.5741872,ba,2.06,14.868,10.347,0.005,278.620,1.269,V
2456536.0637166,2013-08-31.5640456,ba,2.06,14.888,10.387,0.005,268.583,1.215,V
2456536.0650876,2013-08-31.5654165,ba,2.06,14.878,10.371,0.005,272.711,1.294,V
2456537.0483493,2013-09-01.5485914,ba,1.77,14.882,10.378,0.005,270.917,1.229,V
2456537.0497114,2013-09-01.5499534,ba,1.76,14.887,10.394,0.004,266.840,1.149,V
2456538.0711833,2013-09-02.5713348,ba,1.73,14.913,10.392,0.005,267.425,1.177,V
2456538.0725456,2013-09-02.5726970,ba,1.76,14.918,10.394,0.004,267.059,1.139,V
2456539.0657120,2013-09-03.5657751,ba,1.71,14.905,10.379,0.005,270.619,1.231,V
2456539.0670853,2013-09-03.5671483,ba,1.69,14.908,10.376,0.005,271.306,1.202,V
2456540.0541050,2013-09-04.5540800,ba,2.23,14.846,10.379,0.005,270.428,1.243,V
2456540.0554822,2013-09-04.5554571,ba,2.23,14.843,10.365,0.005,274.092,1.299,V
2456544.0437156,2013-09-08.5433333,ba,2.10,14.857,10.346,0.005,279.105,1.266,V
2456544.0450848,2013-09-08.5447024,ba,2.10,14.875,10.381,0.005,269.998,1.285,V
